Property Name,Branch Name,Industry Name,Irrigation Controller Count,Irrigation Controller Type,Irrigation Flow Sensor,Irrigation Master Valve,Irrigation Meter Count,Lead Source,Property Address Line 1,Property City,Property Group Name,Property State/Province Code,Property Type,Property Zip Code,Turf SF,Planter SF,Slope SF
Arroyo Santiago Homeowners Association,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Existing Business,3340 E. Collins Ave.,Orange,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92867,#N/A,#N/A,#N/A
Arroyo Townhomes,Bemus Santa Ana - Anne,HOA/COA/TOA,1,Unknown,Unknown,Unknown,Unknown,Business Development,706 N. Ethan Way,Anaheim,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92805,#N/A,#N/A,#N/A
Arroyo Vista,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,815 Brookdale Drive,Vista,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92081,#N/A,#N/A,#N/A
Arroyo Vista Apartments,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1444 Orange Ave,Redlands,Unknown,CA,Unknown,92373,#N/A,#N/A,#N/A
Arroyo Vista Homeowners Association,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,40265 Calle Real,Murrieta,Unknown,CA,Unknown,92562,#N/A,#N/A,#N/A
Artesana,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6406 Meadowbrush Circle,San Diego,Unknown,CA,Unknown,92130,#N/A,#N/A,#N/A
Artesia Homeowners Association,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,170 Chambers Street,El Cajon,Bemus- Tree Care,CA,Tree Care,92020,#N/A,#N/A,#N/A
Artisan at Chino Hills,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,16301 Fox Hollow Way,Chino Hills,Unknown,CA,Unknown,91709,#N/A,#N/A,#N/A
Artisan at Chino Hills Maintenance Association,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,Fox Hollow and Picasso,Chino Hills,Bemus- Maintenance,CA,Maintenance,91709,#N/A,#N/A,#N/A
Artisan at South Coast Homeowners Association,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rembrandt,Santa Ana,Unknown,CA,Unknown,92704,#N/A,#N/A,#N/A
Artisan Walk HOA,Bemus Santa Ana - Hathaway,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,1942 Arts Ave,Brea,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92821,#N/A,#N/A,#N/A
Artist Walk Lofts Association,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,201 N. Bush St.,Santa Ana,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92701,#N/A,#N/A,#N/A
Ascot Park HOA,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,32024 Del Cielo Oeste,Bonsall,Unknown,CA,Unknown,92003,#N/A,#N/A,#N/A
Ashely Home Store,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,5055 S. Montclair Plaza Ln,Montclair,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,Unknown,#N/A,#N/A,#N/A
Ashford Place HOA,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,11 Ashford,Irvine,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92618,#N/A,#N/A,#N/A
Ashley Boardman Residence,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,354 E Algrove St,Covina,Unknown,CA,Unknown,91723,#N/A,#N/A,#N/A
"Ashley corporate offices, Ashley home store, Ashley distribution warehouse",Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,755-855-1601 Ashley Way,Colton,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,Unknown,#N/A,#N/A,#N/A
Ashley DC Warehouse distribution properties,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,"1601, 1701, 1801 Cooley Drive",Colton,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,Unknown,#N/A,#N/A,#N/A
Ashley Warehouse distribution center,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,2250 W. Lugonla Ave,Redlands,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92373,#N/A,#N/A,#N/A
Ashley Way-Transwestern DC,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Employee Referral,1648 Ashley Way,Colton,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92324,#N/A,#N/A,#N/A
Ashton Home Owners Association,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,No,No,Unknown,New Business,26477 Verdugo,Mission Viejo,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92692,#N/A,#N/A,#N/A
Ashton Plaza Owners Association,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,17662 Irvine Blvd.,Tustin,Unknown,CA,Unknown,92780,#N/A,#N/A,#N/A
Aspen Court HOA at Shady Trails - STR2,Bemus Riverside,HOA/COA/TOA,5,Dumb,Unknown,Unknown,Unknown,Customer Referral,15800 South Park Lane,Fontana,Bemus- Maintenance,CA,Maintenance,92336,#N/A,#N/A,#N/A
Aspen Creek HOA,Bemus San Juan Capistrano,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,22 Indian Hill Ln,Laguna Hills,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92653,#N/A,#N/A,#N/A
Aspen Hills Community Association,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,15850 Lasselle street,Moreno Valley,Bemus- Maintenance,CA,Maintenance,92551,#N/A,#N/A,#N/A
Aspen Village,Bemus Santa Ana - Hathaway,Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1604 Aspen Village Way,West Covina,Bemus- Tree Care,CA,Tree Care,91791,#N/A,#N/A,#N/A
Aspire Encore HOA,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11001 Caminito Arcada,San Diego,Bemus- Tree Care,CA,Tree Care,92131,#N/A,#N/A,#N/A
Aspire Homeowners Corporation,Bemus Santa Ana - Hathaway,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,11733 Florence Avenue,Santa Fe Springs,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,90670,#N/A,#N/A,#N/A
Assar Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,16 Venezia,Newport Beach,Unknown,CA,Unknown,92657,#N/A,#N/A,#N/A
Associa PCM - OC Office,Bemus Santa Ana - Hathaway,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,"27051 Towne Centre Drive, Suite 200",Foothill Ranch,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92610,#N/A,#N/A,#N/A
Associa PCM - Signal Hill Office,Bemus Santa Ana - Anne,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,"2698 Junipero Ave, Suite 101-A",Signal Hill,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,90755,#N/A,#N/A,#N/A
Associa PCM Office - Lake forest Corporate,Bemus Santa Ana - Hathaway,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,27051 Towne Centre Dr,Foothill Ranch,Unknown,CA,Unknown,92610,#N/A,#N/A,#N/A
Associa PCM Riverside Office,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,11860 Pierce St. #100,Riverside,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92505,#N/A,#N/A,#N/A
Athena Property Management Office,Bemus Santa Ana - Hathaway,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,730 El Camino Way,Tustin,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92780,#N/A,#N/A,#N/A
Atherton Glen Homeowners Association,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,27 Notchbrook Ln,Ladera Ranch,Unknown,CA,Unknown,92694,#N/A,#N/A,#N/A
Atlas HOA,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3650 5th Avenue,San Diego,Unknown,CA,Unknown,92103,#N/A,#N/A,#N/A
Atrium,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3200 Inland Empire Blvd.,Ontario,Unknown,CA,Unknown,91764,#N/A,#N/A,#N/A
Atwell Community Association Property,Bemus Riverside,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,1340 Landmark Way,Banning,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92220,#N/A,#N/A,#N/A
Atwell Master Association Property,Bemus Riverside,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,1340 Landmark Way,Banning,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92220,#N/A,#N/A,#N/A
Auberge,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7921 Auberge Circle,San Diego,Unknown,CA,Unknown,Unknown,#N/A,#N/A,#N/A
Auberge Community Association,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7921 Auberge Circle,San Diego,Unknown,CA,Unknown,92127,#N/A,#N/A,#N/A
Aubrey Place HOA,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Temecula,Unknown,CA,Unknown,Unknown,#N/A,#N/A,#N/A
Aubry of Alamitos Ridge,Bemus Santa Ana - Anne,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,3363 View Ridge Drive,Long Beach,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,90804,#N/A,#N/A,#N/A
Auburn at College Park Homeowners Association,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6954 Edinboro Street,Chino,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91710,#N/A,#N/A,#N/A
Auburn Heights HOA,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,208 S. Auburn Heights Lane,Anaheim,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92807,#N/A,#N/A,#N/A
